word,status,sources,author,work,language
Λήϊτος,no_entry,,Homer,Iliad,greek
Λίλαιαν,no_entry,,Homer,Iliad,greek
Λίνδον,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Λαέρκεος,no_entry,,Homer,Iliad,greek
Λαμπετίδης,no_entry,,Homer,Iliad,greek
Λαοδάμειαν,no_entry,,Homer,Iliad,greek
Λαοδίκη,no_entry,,Homer,Iliad,greek
Λαοδίκην,no_entry,,Homer,Iliad,greek
Λαοδαμείῃ,no_entry,,Homer,Iliad,greek
Λαοθόη,no_entry,,Homer,Iliad,greek
Λαομέδοντα,morphology_only,wiktionary,Homer,Iliad,greek
Λαομέδοντι,morphology_only,wiktionary,Homer,Iliad,greek
Λαομέδοντος,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Λαομέδων,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Λαομεδοντιάδη,no_entry,,Homer,Iliad,greek
Λαομεδοντιάδης,no_entry,,Homer,Iliad,greek
Λαπίθαι,no_entry,,Homer,Iliad,greek
Λαπιθάων,no_entry,,Homer,Iliad,greek
Λαόγονον,morphology_only,,Homer,Iliad,greek
Λειώκριτον,morphology_only,,Homer,Iliad,greek
Λελέγεσσι,no_entry,,Homer,Iliad,greek
Λεοντεὺς,no_entry,,Homer,Iliad,greek
Λεοντῆα,no_entry,,Homer,Iliad,greek
Λεοντῆος,no_entry,,Homer,Iliad,greek
Λικύμνιον,no_entry,,Homer,Iliad,greek
Λιμνώρεια,no_entry,,Homer,Iliad,greek
Λυκομήδεα,morphology_only,wiktionary,Homer,Iliad,greek
Λυκομήδεος,morphology_only,wiktionary,Homer,Iliad,greek
Λυκομήδης,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Λυκοφόντην,no_entry,,Homer,Iliad,greek
Λυκούργου,morphology_only,,Homer,Iliad,greek
Λυκόοργος,no_entry,,Homer,Iliad,greek
Λυκόφρονα,no_entry,,Homer,Iliad,greek
Λυρνησσοῦ,morphology_only,wiktionary,Homer,Iliad,greek
Λυρνησσὸν,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Λύκαστον,morphology_only,,Homer,Iliad,greek
Λύκτον,morphology_only,,Homer,Iliad,greek
Λύκτου,morphology_only,,Homer,Iliad,greek
Λύσανδρον,morphology_only,,Homer,Iliad,greek
Μάρις,no_entry,,Homer,Iliad,greek
Μάσητά,no_entry,,Homer,Iliad,greek
Μάστορος,no_entry,,Homer,Iliad,greek
Μέγην,no_entry,,Homer,Iliad,greek
Μέγης,no_entry,,Homer,Iliad,greek
Μέγητα,no_entry,,Homer,Iliad,greek
Μέντορος,morphology_only,wiktionary,Homer,Iliad,greek
Μέντῃ,no_entry,,Homer,Iliad,greek
Μένωνα,morphology_only,wiktionary,Homer,Iliad,greek
Μέσθλης,no_entry,,Homer,Iliad,greek
Μήστορά,no_entry,,Homer,Iliad,greek
Μίδειαν,no_entry,,Homer,Iliad,greek
Μαιμαλίδης,no_entry,,Homer,Iliad,greek
Μαντινέην,no_entry,,Homer,Iliad,greek
Μαρπήσσης,no_entry,,Homer,Iliad,greek
Μαστορίδης,no_entry,,Homer,Iliad,greek
Μεγάδην,no_entry,,Homer,Iliad,greek
Μεδεῶνά,no_entry,,Homer,Iliad,greek
Μελάνθιον,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Μελάνιππε,morphology_only,wiktionary,Homer,Iliad,greek
Μελάνιππον,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Μελέαγρον,no_entry,,Homer,Iliad,greek
Μελέαγρος,no_entry,,Homer,Iliad,greek
Μελίβοιαν,no_entry,,Homer,Iliad,greek
Μελίτη,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Μενέσθιον,no_entry,,Homer,Iliad,greek
Μενέσθιος,no_entry,,Homer,Iliad,greek
Μενοίτιον,morphology_only,wiktionary,Homer,Iliad,greek
Μενοίτιος,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Μενοιτίου,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Μεσσηΐδος,no_entry,,Homer,Iliad,greek
Μηθώνην,no_entry,,Homer,Iliad,greek
Μηκιστέος,no_entry,,Homer,Iliad,greek
Μηκιστεὺς,no_entry,,Homer,Iliad,greek
Μηκιστηϊάδης,no_entry,,Homer,Iliad,greek
Μηκιστῆος,no_entry,,Homer,Iliad,greek
Μηριόναο,morphology_only,wiktionary,Homer,Iliad,greek
Μηριόνη,morphology_only,wiktionary,Homer,Iliad,greek
Μηριόνην,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Μηριόνης,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Μηριόνῃ,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Μολίονα,no_entry,,Homer,Iliad,greek
Μολίονε,no_entry,,Homer,Iliad,greek
Μούλιον,no_entry,,Homer,Iliad,greek
Μυγδόνος,no_entry,,Homer,Iliad,greek
Μυκάλης,morphology_only,,Homer,Iliad,greek
Μυκαλησσόν,no_entry,,Homer,Iliad,greek
Μυρίνης,no_entry,,Homer,Iliad,greek
Μόλου,no_entry,,Homer,Iliad,greek
Μόρυν,no_entry,,Homer,Iliad,greek
Μύδωνά,no_entry,,Homer,Iliad,greek
Μύδωνα,no_entry,,Homer,Iliad,greek
Μύνητʼ,no_entry,,Homer,Iliad,greek
Μύνητος,no_entry,,Homer,Iliad,greek
Μύρσινος,morphology_only,,Homer,Iliad,greek
Μῃονίην,no_entry,,Homer,Iliad,greek
Μῃονίης,no_entry,,Homer,Iliad,greek
Μῃονὶς,no_entry,,Homer,Iliad,greek
Μῄονας,no_entry,,Homer,Iliad,greek
Μῄονες,no_entry,,Homer,Iliad,greek
Μῄονος,no_entry,,Homer,Iliad,greek
Μῄοσιν,no_entry,,Homer,Iliad,greek
Νάστης,no_entry,,Homer,Iliad,greek
Νέστορ,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Νέστορʼ,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Νέστορά,morphology_only,wiktionary,Homer,Iliad,greek
Νέστορί,morphology_only,wiktionary,Homer,Iliad,greek
Νέστορα,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Νέστορι,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Νέστορος,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Νέστωρ,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Νήριτον,no_entry,,Homer,Iliad,greek
Νίσυρόν,morphology_only,,Homer,Iliad,greek
Ναυβολίδαο,no_entry,,Homer,Iliad,greek
Νεστορέας,morphology_only,wiktionary,Homer,Iliad,greek
Νεστορέην,no_entry,,Homer,Iliad,greek
Νεστορέῃ,no_entry,,Homer,Iliad,greek
Νεστορίδαι,no_entry,,Homer,Iliad,greek
Νεστορίδαο,no_entry,,Homer,Iliad,greek
Νεστορίδην,no_entry,,Homer,Iliad,greek
Νεστορίδης,no_entry,,Homer,Iliad,greek
Νηληΐῳ,no_entry,,Homer,Iliad,greek
Νηληϊάδεω,no_entry,,Homer,Iliad,greek
Νησαίη,no_entry,,Homer,Iliad,greek
Νιρεύς,no_entry,,Homer,Iliad,greek
Νιρεὺς,no_entry,,Homer,Iliad,greek
Νιόβη,morphology_only,,Homer,Iliad,greek
Νιόβῃ,morphology_only,,Homer,Iliad,greek
Νομίονος,no_entry,,Homer,Iliad,greek
Νῖσάν,morphology_only,wiktionary,Homer,Iliad,greek
Ξάνθέ,morphology_only,wiktionary,Homer,Iliad,greek
Ξάνθε,morphology_only,wiktionary,Homer,Iliad,greek
Ξάνθοιο,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Ξάνθον,morphology_only,wiktionary,Homer,Iliad,greek
Ξάνθος,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Ξάνθου,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Ξάνθόν,morphology_only,wiktionary,Homer,Iliad,greek
Ξάνθός,morphology_only,wiktionary,Homer,Iliad,greek
Ξάνθῳ,morphology_only,wiktionary,Homer,Iliad,greek
Οἰνεΐδαο,no_entry,,Homer,Iliad,greek
Οἰνεὺς,no_entry,,Homer,Iliad,greek
Οἰνοπίδην,no_entry,,Homer,Iliad,greek
Οἰνόμαον,morphology_only,,Homer,Iliad,greek
Οἰνόμαόν,morphology_only,,Homer,Iliad,greek
Οἰνῆος,no_entry,,Homer,Iliad,greek
Οἴτυλον,no_entry,,Homer,Iliad,greek
Οὐκαλέγων,no_entry,,Homer,Iliad,greek
Πάλμύν,no_entry,,Homer,Iliad,greek
Πάμμονά,no_entry,,Homer,Iliad,greek
Πάνδαρε,morphology_only,,Homer,Iliad,greek
Πάνδαρον,morphology_only,,Homer,Iliad,greek
Πάνδαρος,morphology_only,,Homer,Iliad,greek
Πάνθοον,morphology_only,,Homer,Iliad,greek
Πάνθου,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Πάνθῳ,no_entry,,Homer,Iliad,greek
Πάριν,no_entry,,Homer,Iliad,greek
Πάριος,no_entry,,Homer,Iliad,greek
Πάρις,no_entry,,Homer,Iliad,greek
Πέριμον,no_entry,,Homer,Iliad,greek
Πήδαιον,no_entry,,Homer,Iliad,greek
Πήδασον,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Παιονίδην,no_entry,,Homer,Iliad,greek
Πανδίων,no_entry,,Homer,Iliad,greek
Πανθοΐδαο,no_entry,,Homer,Iliad,greek
Πανθοΐδην,no_entry,,Homer,Iliad,greek
Πανθοΐδης,no_entry,,Homer,Iliad,greek
Πανοπῆα,no_entry,,Homer,Iliad,greek
Πανοπῆος,no_entry,,Homer,Iliad,greek
Πανοπῆϊ,no_entry,,Homer,Iliad,greek
Πανόπη,no_entry,,Homer,Iliad,greek
Παρρασίην,morphology_only,,Homer,Iliad,greek
Πασιθέην,no_entry,,Homer,Iliad,greek
Πείροος,no_entry,,Homer,Iliad,greek
Πείσανδρον,morphology_only,,Homer,Iliad,greek
Πείσανδρος,morphology_only,,Homer,Iliad,greek
Πείσανδρόν,morphology_only,,Homer,Iliad,greek
Πειρίθοον,morphology_only,,Homer,Iliad,greek
Πειρίθοόν,morphology_only,,Homer,Iliad,greek
Πειραΐδαο,no_entry,,Homer,Iliad,greek
Πειριθόοιο,no_entry,,Homer,Iliad,greek
Πειριθόου,morphology_only,,Homer,Iliad,greek
Πειριθόῳ,morphology_only,,Homer,Iliad,greek
Πεισάνδρῳ,morphology_only,,Homer,Iliad,greek
Πεισήνορος,no_entry,,Homer,Iliad,greek
Πελάγοντα,no_entry,,Homer,Iliad,greek
Πελίαο,no_entry,,Homer,Iliad,greek
Πελλήνην,morphology_only,,Homer,Iliad,greek
Περίβοια,no_entry,,Homer,Iliad,greek
Περίφαντι,no_entry,,Homer,Iliad,greek
Περαιβοὶ,no_entry,,Homer,Iliad,greek
Περγασίδην,no_entry,,Homer,Iliad,greek
Περιήρεος,no_entry,,Homer,Iliad,greek
Περιμήδεος,no_entry,,Homer,Iliad,greek
Περιφήτην,no_entry,,Homer,Iliad,greek
Περκωσίου,no_entry,,Homer,Iliad,greek
Περκώσιον,no_entry,,Homer,Iliad,greek
Περκώτην,morphology_only,,Homer,Iliad,greek
Περκώτῃ,morphology_only,,Homer,Iliad,greek
Περσεφόνεια,morphology_only,,Homer,Iliad,greek
Περσεφόνειαν,morphology_only,,Homer,Iliad,greek
Περσηϊάδαο,no_entry,,Homer,Iliad,greek
Πετεῶνα,no_entry,,Homer,Iliad,greek
Πετεῶο,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
