word,status,sources,author,work,language
Τηλεμάχῳ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Τηλεφίδην,no_entry,,Homer,Odyssey,greek
Τρωϊάδος,no_entry,,Homer,Odyssey,greek
Τυδεΐδεω,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Τυδεΐδης,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Φέρητʼ,no_entry,,Homer,Odyssey,greek
Φήμιε,morphology_only,,Homer,Odyssey,greek
Φήμιος,morphology_only,,Homer,Odyssey,greek
Φαέθονθʼ,morphology_only,wiktionary,Homer,Odyssey,greek
Φαέθουσά,no_entry,,Homer,Odyssey,greek
Φαίδρην,no_entry,,Homer,Odyssey,greek
Φαιστόν,no_entry,,Homer,Odyssey,greek
Φεὰς,no_entry,,Homer,Odyssey,greek
Φημίῳ,morphology_only,,Homer,Odyssey,greek
Φιλοίτιε,morphology_only,,Homer,Odyssey,greek
Φιλοίτιος,morphology_only,,Homer,Odyssey,greek
Φιλοκτήτην,morphology_only,wiktionary,Homer,Odyssey,greek
Φιλοκτήτης,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Φιλομηλεΐδῃ,no_entry,,Homer,Odyssey,greek
Φοίβου,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Φοῖβος,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Φρονίοιο,no_entry,,Homer,Odyssey,greek
Φρόντιν,no_entry,,Homer,Odyssey,greek
Φυλάκοιο,no_entry,,Homer,Odyssey,greek
Χλῶριν,no_entry,,Homer,Odyssey,greek
Ψυρίης,no_entry,,Homer,Odyssey,greek
αἰδέσθητε,no_entry,,Homer,Odyssey,greek
γλύκιον,morphology_only,,Homer,Odyssey,greek
διαειπέμεν,no_entry,,Homer,Odyssey,greek
διαπρήσσουσα,no_entry,,Homer,Odyssey,greek
διαπρήσσωσι,no_entry,,Homer,Odyssey,greek
διεμοιρᾶτο,no_entry,,Homer,Odyssey,greek
διεπτοίησε,no_entry,,Homer,Odyssey,greek
διοϊστεύσειας,no_entry,,Homer,Odyssey,greek
διοϊστεύσειν,no_entry,,Homer,Odyssey,greek
διοϊστεύσω,no_entry,,Homer,Odyssey,greek
διοϊστεύσῃ,no_entry,,Homer,Odyssey,greek
διοϊστεῦσαί,no_entry,,Homer,Odyssey,greek
εἰσαφίκανεν,no_entry,,Homer,Odyssey,greek
θεείου,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
κατάνεται,no_entry,,Homer,Odyssey,greek
κατέδησεν,no_entry,,Homer,Odyssey,greek
κατέχυνθʼ,no_entry,,Homer,Odyssey,greek
καταΐσχεται,no_entry,,Homer,Odyssey,greek
καταγίνεον,no_entry,,Homer,Odyssey,greek
καταειμένον,no_entry,,Homer,Odyssey,greek
καταισχύνειν,no_entry,,Homer,Odyssey,greek
καταισχύνοντα,no_entry,,Homer,Odyssey,greek
καταρῶνται,no_entry,,Homer,Odyssey,greek
κατατεθνηυίης,no_entry,,Homer,Odyssey,greek
κατατεθνηώτων,morphology_only,wiktionary,Homer,Odyssey,greek
κατατεθνηῶτας,no_entry,,Homer,Odyssey,greek
κατατρύχῃ,no_entry,,Homer,Odyssey,greek
κατισχέμεναι,no_entry,,Homer,Odyssey,greek
κείμενʼ,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
λείποι,no_entry,,Homer,Odyssey,greek
ληιστῆρες,no_entry,,Homer,Odyssey,greek
ληϊστῆρσι,no_entry,,Homer,Odyssey,greek
ληϊστῆρσιν,no_entry,,Homer,Odyssey,greek
μίαν,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
μεθήμενος,no_entry,,Homer,Odyssey,greek
μεθορμηθεὶς,no_entry,,Homer,Odyssey,greek
μετέειφʼ,no_entry,,Homer,Odyssey,greek
μετέμισγον,no_entry,,Homer,Odyssey,greek
μεταΐζειν,no_entry,,Homer,Odyssey,greek
μετεκίαθε,no_entry,,Homer,Odyssey,greek
μύνῃσι,no_entry,,Homer,Odyssey,greek
ξερὸν,no_entry,,Homer,Odyssey,greek
ξυνέαξαν,no_entry,,Homer,Odyssey,greek
οἷoν,no_entry,,Homer,Odyssey,greek
παρέλκετε,no_entry,,Homer,Odyssey,greek
παρανήξομαι,no_entry,,Homer,Odyssey,greek
παρευνάζεσθε,no_entry,,Homer,Odyssey,greek
πατρωΐῃ,no_entry,,Homer,Odyssey,greek
πατρώια,no_entry,,Homer,Odyssey,greek
πατρώϊα,no_entry,,Homer,Odyssey,greek
πειρησαίμην,no_entry,,Homer,Odyssey,greek
περίσσαινον,no_entry,,Homer,Odyssey,greek
περικήδετο,no_entry,,Homer,Odyssey,greek
περισσαίνοντες,no_entry,,Homer,Odyssey,greek
περισσαίνουσι,no_entry,,Homer,Odyssey,greek
περιστεναχίζεται,no_entry,,Homer,Odyssey,greek
περιταμνομένους,no_entry,,Homer,Odyssey,greek
περιταμνόμενον,no_entry,,Homer,Odyssey,greek
περιτρέφετο,no_entry,,Homer,Odyssey,greek
περιφῦσʼ,no_entry,,Homer,Odyssey,greek
πολυπενθές,no_entry,,Homer,Odyssey,greek
ποτιπτυσσοίμεθα,no_entry,,Homer,Odyssey,greek
προΐαλλε,no_entry,,Homer,Odyssey,greek
προΐδωνται,no_entry,,Homer,Odyssey,greek
προΐειν,no_entry,,Homer,Odyssey,greek
προΐεις,no_entry,,Homer,Odyssey,greek
προΐησι,no_entry,,Homer,Odyssey,greek
προπροκυλινδόμενος,no_entry,,Homer,Odyssey,greek
προσέθη,no_entry,,Homer,Odyssey,greek
προταμοίμην,no_entry,,Homer,Odyssey,greek
προτιμυθήσασθαι,no_entry,,Homer,Odyssey,greek
συκέας,no_entry,,Homer,Odyssey,greek
τανυστύος,no_entry,,Homer,Odyssey,greek
τόσσʼ,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
χαλκήϊον,no_entry,,Homer,Odyssey,greek
ἀΐοντες,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
ἀΐουσα,no_entry,,Homer,Odyssey,greek
ἀίοντες,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
ἀμέτρητον,no_entry,,Homer,Odyssey,greek
ἀμήσαντες,no_entry,,Homer,Odyssey,greek
ἀμησάμενος,no_entry,,Homer,Odyssey,greek
ἀμῷεν,no_entry,,Homer,Odyssey,greek
ἀναΐξαντʼ,no_entry,,Homer,Odyssey,greek
ἀναΐξαντε,no_entry,,Homer,Odyssey,greek
ἀναΐξαντες,no_entry,,Homer,Odyssey,greek
ἀναΐξασα,no_entry,,Homer,Odyssey,greek
ἀπέδυνε,no_entry,,Homer,Odyssey,greek
ἀπορρῶγες,no_entry,,Homer,Odyssey,greek
ἀποτρωπᾶσθε,no_entry,,Homer,Odyssey,greek
ἀρημένον,no_entry,,Homer,Odyssey,greek
Ἀΐδαο,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀΐδεω,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀΐδῃ,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀίδαο,morphology_only,wiktionary,Homer,Odyssey,greek
Ἀίδεω,morphology_only,wiktionary,Homer,Odyssey,greek
Ἀίδῃ,morphology_only,wiktionary,Homer,Odyssey,greek
Ἀγέλαε,morphology_only,,Homer,Odyssey,greek
Ἀγέλαος,morphology_only,,Homer,Odyssey,greek
Ἀγέλεως,no_entry,,Homer,Odyssey,greek
Ἀγχιάλοιο,no_entry,,Homer,Odyssey,greek
Ἀδρήστη,no_entry,,Homer,Odyssey,greek
Ἀκάστῳ,morphology_only,,Homer,Odyssey,greek
Ἀκρόνεώς,no_entry,,Homer,Odyssey,greek
Ἀκτορίς,no_entry,,Homer,Odyssey,greek
Ἀλκάνδρη,no_entry,,Homer,Odyssey,greek
Ἀλκίνοʼ,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀλκίνοε,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀλκίνοον,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀλκίνοος,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀλκίνοόν,morphology_only,wiktionary,Homer,Odyssey,greek
Ἀλκίππη,no_entry,,Homer,Odyssey,greek
Ἀλκιμίδης,no_entry,,Homer,Odyssey,greek
Ἀλκινόοιο,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀλκινόου,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Ἀλκινόῳ,morphology_only,wiktionary,Homer,Odyssey,greek
Ἀλκμήνη,morphology_only,,Homer,Odyssey,greek
Ἀλκμήνην,morphology_only,,Homer,Odyssey,greek
Ἀλκμαίων,no_entry,,Homer,Odyssey,greek
Ἀλφειὸς,no_entry,,Homer,Odyssey,greek
Ἀλωῆος,no_entry,,Homer,Odyssey,greek
Ἀλύβαντος,no_entry,,Homer,Odyssey,greek
Ἀμνισῷ,no_entry,,Homer,Odyssey,greek
