Author,Work
"Aristides, Aelius","Orationes 33"
"Aristides, Aelius","Orationes 34"
"Aristides, Aelius","Orationes 35"
"Aristides, Aelius","Orationes 36"
"Aristides, Aelius","Orationes 37"
"Aristides, Aelius","Orationes 38"
"Aristides, Aelius","Orationes 39"
"Aristides, Aelius","Orationes 4"
"Aristides, Aelius","Orationes 40"
"Aristides, Aelius","Orationes 41"
"Aristides, Aelius","Orationes 42"
"Aristides, Aelius","Orationes 43"
"Aristides, Aelius","Orationes 44"
"Aristides, Aelius","Orationes 45"
"Aristides, Aelius","Orationes 46"
"Aristides, Aelius","Orationes 47"
"Aristides, Aelius","Orationes 48"
"Aristides, Aelius","Orationes 49"
"Aristides, Aelius","Orationes 5"
"Aristides, Aelius","Orationes 50"
"Aristides, Aelius","Orationes 51"
"Aristides, Aelius","Orationes 52"
"Aristides, Aelius","Orationes 53"
"Aristides, Aelius","Orationes 54"
"Aristides, Aelius","Orationes 55"
"Aristides, Aelius","Orationes 6"
"Aristides, Aelius","Orationes 7"
"Aristides, Aelius","Orationes 8"
"Aristides, Aelius","Orationes 9"
"Aristocles of Messene",Fragmenta
"Ariston of Chios","Testimonia et Fragmenta"
"Aristonicus of Alexandria","De signis Odysseae"
Aristophanes,Acharnians
Aristophanes,Birds
Aristophanes,Clouds
Aristophanes,Ecclesiazusae
Aristophanes,Frogs
Aristophanes,Knights
Aristophanes,Lysistrata
Aristophanes,Peace
Aristophanes,Thesmophoriazusae
Aristophanes,Wasps
Aristophanes,Wealth
"Aristophanes of Byzantium","Historiae Animalium Epitome"
Aristotle,"Analytica priora"
Aristotle,Categoriae
Aristotle,"Constitution of the Athenians"
Aristotle,"De Generatione Animalium"
Aristotle,"De Xenophane, de Zenone, de Gorgia"
Aristotle,"De anima"
Aristotle,"De anima (codicis E fragmenta recensionis a vulgata diversae)"
Aristotle,"De animalium incessu"
Aristotle,"De animalium motione"
Aristotle,"De audibilibus"
Aristotle,"De caelo"
Aristotle,"De coloribus"
Aristotle,"De divinatione per somnum"
Aristotle,"De generatione et corruptione"
Aristotle,"De insomniis"
Aristotle,"De interpretatione"
Aristotle,"De iuventute et senectute, De vita et morte"
Aristotle,"De lineis insecabilibus"
Aristotle,"De longitudine et brevitate vitae"
Aristotle,"De memoria et reminiscentia"
Aristotle,"De partibus animalium"
Aristotle,"De plantis"
Aristotle,"De respiratione"
Aristotle,"De sensu et sensibilibus"
Aristotle,"De somno et vigilia"
Aristotle,"De sophisticis elenchis"
Aristotle,"De spiritu"
Aristotle,"De ventorum situ et nominibus"
Aristotle,"Divisiones Aristoteleae"
Aristotle,Economics
Aristotle,Epistles
Aristotle,"Eudemian Ethics"
Aristotle,"Historia animalium"
Aristotle,"Magna Moralia"
Aristotle,Mechanica
Aristotle,Metaphysics
Aristotle,Meteorologica
Aristotle,"Mirabilium auscultationes"
Aristotle,"Nicomachean Ethics"
Aristotle,"On Virtues and Vices"
Aristotle,Physica
Aristotle,"Physica (textus alter)"
Aristotle,Physiognomonica
Aristotle,Poetics
Aristotle,Politics
Aristotle,Problemata
Aristotle,"Res Publica Atheniensium"
Aristotle,"The ""Art"" of Rhetoric"
Aristotle,Topica
Aristoxenus,tlg001
"Arius Didymus","Liber de philosophorum sectis (epitome ap. Stobaeum)"
Arrian,"Acies Contra Alanos"
Arrian,Cynegeticus
Arrian,"Epistula ad Lucium Gellium"
Arrian,Indica
